x_client	y_client	Weight	DeliveryTimeRange	UnloadingTime
43.17552935	76.90688505	10.0	10:00-19:00	15.0
43.2143748	76.8478558	10.0	10:00-19:00	15.0
43.3229146	76.918779	10.0	10:00-19:00	15.0
43.2381469	76.906773	10.0	10:00-19:00	15.0
43.2217583	76.817759	10.0	10:00-19:00	15.0
43.2281007	76.83308955	10.0	10:00-19:00	15.0
43.2356483	76.8272107	10.0	10:00-19:00	15.0
43.2684777	76.924468	10.0	10:00-19:00	15.0
43.3029867	76.8812837	10.0	10:00-19:00	15.0
43.2101717	76.9148103	10.0	10:00-19:00	15.0
43.3164987	76.9155196	10.0	10:00-19:00	15.0
43.2179164	76.8801582	10.0	10:00-19:00	15.0
43.3194477	76.9579068	10.0	10:00-19:00	15.0
43.2143742	76.7885305	10.0	10:00-19:00	15.0
43.326385	76.939171	10.0	10:00-19:00	15.0
43.2433241	76.9408549	10.0	10:00-19:00	15.0
43.24310815	76.81210395	10.0	10:00-19:00	15.0
43.2244849	76.9618306	10.0	10:00-19:00	15.0
43.2207007	76.8241354	10.0	10:00-19:00	15.0
43.25703095	76.80885045	10.0	10:00-19:00	15.0
43.3447239	76.9878006	10.0	10:00-19:00	15.0
43.3006174	76.8385396	10.0	10:00-19:00	15.0
43.232767	76.9533175	10.0	10:00-19:00	15.0
43.2316965	76.9184679	10.0	10:00-19:00	15.0
43.26162625	76.93034165	10.0	10:00-19:00	15.0
43.196995	76.8816641	10.0	10:00-19:00	15.0
43.250416	76.9372429	10.0	10:00-19:00	15.0
43.2542438	76.92779355	10.0	10:00-19:00	15.0
43.2792138	76.949226	10.0	10:00-19:00	15.0
43.2904787	76.8384667	10.0	10:00-19:00	15.0
43.252131	76.9679547	10.0	10:00-19:00	15.0
43.3390464	76.9328957	10.0	10:00-19:00	15.0
43.25703095	76.80885045	10.0	10:00-19:00	15.0
43.25703095	76.80885045	10.0	10:00-19:00	15.0
43.2358162	76.888782	10.0	10:00-19:00	15.0
43.2486308	76.8549104	10.0	10:00-19:00	15.0
43.2632018	76.821281	10.0	10:00-19:00	15.0
43.2444487	76.835767	10.0	10:00-19:00	15.0
43.2292623	76.83690075	10.0	10:00-19:00	15.0
43.2216047	76.8235117	10.0	10:00-19:00	15.0
43.2293084	76.8998757	10.0	10:00-19:00	15.0
43.24642155	76.7920733	10.0	10:00-19:00	15.0
43.21454795	76.84748765	10.0	10:00-19:00	15.0
43.244857	76.8974316	10.0	10:00-19:00	15.0
43.3567329	76.9224159	10.0	10:00-19:00	15.0
43.2552945	76.9157108	10.0	10:00-19:00	15.0
43.24607065	76.7467212	10.0	10:00-19:00	15.0
43.1970312	76.8695335	10.0	10:00-19:00	15.0
43.229005	76.9511179	10.0	10:00-19:00	15.0
43.2655627	76.8193742	10.0	10:00-19:00	15.0
43.2725187	76.8872584	0.0	10:00-19:00	0.0
