x_client	y_client	Weight	DeliveryTimeRange	UnloadingTime
43.2789729	76.818901	10.0	10:00-19:00	15.0
43.181994	76.9015597	10.0	10:00-19:00	15.0
43.225429	76.8474233	10.0	10:00-19:00	15.0
43.28998505	76.94243185	10.0	10:00-19:00	15.0
43.2874636	76.9233095	10.0	10:00-19:00	15.0
43.2652815	76.9008754	10.0	10:00-19:00	15.0
43.25358295	76.80885045	10.0	10:00-19:00	15.0
43.2677363	76.8254325	10.0	10:00-19:00	15.0
43.219912	76.835382	10.0	10:00-19:00	15.0
43.2410707	76.8767628	10.0	10:00-19:00	15.0
43.2581176	76.80885045	10.0	10:00-19:00	15.0
43.2430212	76.9287971	10.0	10:00-19:00	15.0
43.2213614	76.9624347	10.0	10:00-19:00	15.0
43.2308253	76.9451668	10.0	10:00-19:00	15.0
43.2533847	76.9527895	10.0	10:00-19:00	15.0
43.2904787	76.8384667	10.0	10:00-19:00	15.0
43.2904787	76.8384667	10.0	10:00-19:00	15.0
43.2219213	76.795345	10.0	10:00-19:00	15.0
43.23379725	76.8353455	10.0	10:00-19:00	15.0
43.2122625	76.9793961	10.0	10:00-19:00	15.0
43.2535255	76.8926332	10.0	10:00-19:00	15.0
43.2161626	76.8680475	10.0	10:00-19:00	15.0
43.2236124	76.8766322	10.0	10:00-19:00	15.0
43.2444356	76.947247	10.0	10:00-19:00	15.0
43.236287	76.9161293	10.0	10:00-19:00	15.0
43.22010415	76.8607431	10.0	10:00-19:00	15.0
43.18919345	76.80005555	10.0	10:00-19:00	15.0
43.27921495	76.8224325	10.0	10:00-19:00	15.0
43.2659746	76.9012606	10.0	10:00-19:00	15.0
43.2517117	76.9463118	10.0	10:00-19:00	15.0
43.1827534	76.8978758	10.0	10:00-19:00	15.0
43.2206307	76.8768028	10.0	10:00-19:00	15.0
43.2117128	76.8767911	10.0	10:00-19:00	15.0
43.256477	76.9107275	10.0	10:00-19:00	15.0
43.2535049	76.8890929	10.0	10:00-19:00	15.0
43.2313084	76.9113083	10.0	10:00-19:00	15.0
43.2133124	76.8691909	10.0	10:00-19:00	15.0
43.2293528	76.8019753	10.0	10:00-19:00	15.0
43.2560393	76.9176469	10.0	10:00-19:00	15.0
43.2904787	76.8384667	10.0	10:00-19:00	15.0
43.1689272	76.8749624	10.0	10:00-19:00	15.0
43.19680975	76.90404455	10.0	10:00-19:00	15.0
43.1689272	76.8749624	10.0	10:00-19:00	15.0
43.24607065	76.7467212	10.0	10:00-19:00	15.0
43.2344494	76.8294656	10.0	10:00-19:00	15.0
43.2458803	76.852914	10.0	10:00-19:00	15.0
43.2101955	76.8833388	10.0	10:00-19:00	15.0
43.2399912	76.9448163	10.0	10:00-19:00	15.0
43.2494834	76.9202358	10.0	10:00-19:00	15.0
43.30654725	76.9242667	10.0	10:00-19:00	15.0
43.2725187	76.8872584	0.0	10:00-19:00	0.0
