x_client	y_client	Weight	DeliveryTimeRange	UnloadingTime
43.2190255	76.877546	1.0	10:00-19:00	15.0
43.32837355	76.97544045	1.0	10:00-19:00	15.0
43.30654725	76.92411785	1.0	10:00-19:00	15.0
43.2301748	76.875281	1.0	10:00-19:00	15.0
43.2400379	76.9567896	1.0	10:00-19:00	15.0
43.23047265	76.8459933	1.0	10:00-19:00	15.0
43.229186	76.8429283	1.0	10:00-19:00	15.0
43.2499849	76.9316283	10.0	10:00-19:00	15.0
43.2413045	76.9027449	1.0	10:00-19:00	15.0
43.339039	76.9833676	1.0	10:00-19:00	15.0
43.1961283	76.868152	1.0	10:00-19:00	15.0
43.23701825	76.8352965	1.0	10:00-19:00	15.0
43.17715665	76.84719795	1.0	10:00-19:00	15.0
43.2553077	76.9381089	1.0	10:00-19:00	15.0
43.2472833	76.8344133	1.0	10:00-19:00	15.0
43.2358245	76.9598952	1.0	10:00-19:00	15.0
43.243663	76.9155533	10.0	10:00-19:00	15.0
43.2488775	76.9259087	1.0	10:00-19:00	15.0
43.3122579	76.9752398	10.0	10:00-19:00	15.0
43.23701825	76.8352965	1.0	10:00-19:00	15.0
43.3567329	76.9224159	1.0	10:00-19:00	15.0
43.2340911	76.9003337	1.0	10:00-19:00	15.0
43.2535255	76.8926332	1.0	10:00-19:00	15.0
43.2592092	76.9252784	1.0	10:00-19:00	15.0
43.2373514	76.9004013	1.0	10:00-19:00	15.0
43.1708179	76.873605	1.0	10:00-19:00	15.0
43.2507557	76.9321284	20.0	10:00-19:00	15.0
43.2671466	76.8701593	1.0	10:00-19:00	15.0
43.2786892	76.82269335	1.0	10:00-19:00	15.0
43.2639355	76.9001256	1.0	10:00-19:00	15.0
43.23997335	76.86018445	1.0	10:00-19:00	15.0
43.2376558	76.9315423	1.0	10:00-19:00	15.0
43.37042095	76.94507725	1.0	10:00-19:00	15.0
43.2312834	76.9081689	1.0	10:00-19:00	15.0
43.3040191	76.9659824	1.0	10:00-19:00	15.0
